主历,礼仪,星期,节日
01,绿,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    常年期第十八主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1080101"">圣亚尔丰索(主教圣师赎世主会会祖 St. Alphonsus de Liguori)</a>
</li>
</ul>"
02,绿,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1080201"">圣欧瑟伯(凡尔则里主教 St. Eusebius of Vencelli)</a>
</li>
<li>
                                                                                    常年期第十八周(星期一)                                                                                </li>
</ul>"
03,绿,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1080301"">圣华旦(梅洛士院长 St. Waltheof -1160)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1080302"">真福伯多禄•儒里安•爱麦(至圣圣体修会会祖 Bd. Peter Julian Eymard)</a>
</li>
<li>
                                                                                    常年期第十八周(星期二)                                                                                </li>
</ul>"
04,白,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1080401"">圣若翰•维雅纳(St. John Vianney)</a>
</li>
<li>
                                                                                    常年期第十八周(星期三)                                                                                </li>
</ul>"
05,白,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1080501"">罗马圣母大殿奉献日(The Dedication of the Basilica of St. Mary Major)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1080502"">圣妇亚勿拉(殉道 St. Afra -304)</a>
</li>
<li>
                                                                                    常年期第十八周(星期四)                                                                                </li>
</ul>"
06,白,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1080601"">耶稣显圣容(The Transfiguration of Our Lord Jesus Christ)</a>
</li>
<li>
                                                                                    常年期第十八周(星期五)                                                                                </li>
</ul>"
07,绿,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1080701"">圣西斯督二世(教宗殉道 St. Sixtus II)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1080702"">圣加耶当(神职界修会副会祖 St. Cajetan)</a>
</li>
<li>
                                                                                    常年期第十八周(星期六)                                                                                </li>
</ul>"
08,绿,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    常年期第十九主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1080801"">圣多明我(多明我会会祖 St. Dominic)</a>
</li>
</ul>"
09,绿,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1080901"">圣奥斯华(殉道 St. Oswald of Northumbria)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1080902"">真福若望•沙肋诺(Bd. John of Salerno 1190-1242)</a>
</li>
<li>
                                                                                    常年期第十九周(星期一)                                                                                </li>
</ul>"
10,红,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1081001"">圣老楞佐(殉道 St. Laurence)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1081002"">圣女菲洛美娜(St. Philomena)</a>
</li>
<li>
                                                                                    常年期第十九周(星期二)                                                                                </li>
</ul>"
11,白,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1081101"">圣女加辣(加辣会创办人 St. Clare)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1081102"">真福伯多禄•法华(Bd. Peter Favre)</a>
</li>
<li>
                                                                                    常年期第十九周(星期三)                                                                                </li>
</ul>"
12,绿,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1081201"">圣慕达(St. Murtagh)</a>
</li>
<li>
                                                                                    常年期第十九周(星期四)                                                                                </li>
</ul>"
13,绿,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1081301"">圣依玻里多和圣彭谦(殉道 Ss. Hippolytus and Ponlianus)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1081302"">圣贝尼杜(St. Benildus)</a>
</li>
<li>
                                                                                    常年期第十九周(星期五)                                                                                </li>
</ul>"
14,白,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1081403"">圣母升天节前夕</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1081402"">圣高比司铎(殉道 St. Maximilian Kolbe, Priest and Martyr)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1081401"">真福安多尼毕马田和伙伴(殉道 Bb. Antony Primaldi and other Martyrs)</a>
</li>
<li>
                                                                                    常年期第十九周(星期六)                                                                                </li>
</ul>"
