主历,礼仪,星期,节日（玫瑰月）
01,白,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1100101"">圣女婴孩耶稣德肋撒(St. Terese of Licieux)</a>
</li>
<li>
                                                                                    常年期第二十六周(星期五)                                                                                </li>
</ul>"
02,白,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1100201"">护守天使(The Guardian Angels)</a>
</li>
<li>
                                                                                    常年期第二十六周(星期六)                                                                                </li>
</ul>"
03,绿,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    常年期第二十七主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1100301"">依华昆仲(殉道 The Two Ewalds -695)</a>
</li>
</ul>"
04,白,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1100401"">圣五伤方济各(St. Francis Assisi)</a>
</li>
<li>
                                                                                    常年期第二十七周(星期一)                                                                                </li>
</ul>"
05,白,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1100501"">圣女傅天娜(童贞 St. Faustina)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1100502"">圣布拉祺多(殉道 St. Placid)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1100503"">圣女福辣(St. Flora of Beaulien)</a>
</li>
<li>
                                                                                    常年期第二十七周(星期二)                                                                                </li>
</ul>"
06,绿,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1100601"">圣勃路诺(加多森会创办人 St. Bruno)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1100602"">圣女玛利亚•方济加(童贞 St. Mary Francesd Naples)</a>
</li>
<li>
                                                                                    常年期第二十七周(星期三)                                                                                </li>
</ul>"
07,白,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1100701"">玫瑰圣母节(Our Lady's Rosary)</a>
</li>
<li>
                                                                                    常年期第二十七周(星期四)                                                                                </li>
</ul>"
08,绿,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1100801"">圣塞尔久、圣伯古斯(殉道 Ss. Sergius and Bacchus)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1100802"">圣女白兰佳(St. Pelagia the Penitent)</a>
</li>
<li>
                                                                                    常年期第二十七周(星期五)                                                                                </li>
</ul>"
09,绿,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1100901"">圣德尼斯(巴黎主教)、圣路帝古、圣爱留德路(殉道 Ss. Denis, Rusticus &amp; Eleutherius)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1100902"">圣若望•良纳弟(天主之母会会祖 St. John Leonardi 1543-1609)</a>
</li>
<li>
                                                                                    常年期第二十七周(星期六)                                                                                </li>
</ul>"
10,绿,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    常年期第二十八主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1101001"">圣方济各•玻尔日亚(St. Francis Borgia)</a>
</li>
</ul>"
11,绿,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1101102"">圣若望二十三世(教宗 St. John XXIII)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1101101"">圣加尼斯(院长 St. Canice)</a>
</li>
<li>
                                                                                    常年期第二十八周(星期一)                                                                                </li>
</ul>"
12,绿,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1101201"">圣威弗烈(约克主教 St. Wilfrid 709)</a>
</li>
<li>
                                                                                    常年期第二十八周(星期二)                                                                                </li>
</ul>"
13,绿,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1101301"">圣爱德华(St. Edward Confessor 1004-1066)</a>
</li>
<li>
                                                                                    常年期第二十八周(星期三)                                                                                </li>
</ul>"
