主历,礼仪,星期,节日（若瑟月）
01,紫,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1030101"">圣达味(米尼主教 St. David 495-589)</a>
</li>
<li>
                                                                                    圣灰礼仪后星期五                                                                                </li>
</ul>"
02,紫,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1030201"">圣嘉德(李非主教 St. Chad)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1030202"">圣妇顾乃宫(St. Cunegund)</a>
</li>
<li>
                                                                                    圣灰礼仪后星期六                                                                                </li>
</ul>"
03,紫,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    四旬期第一主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1030301"">圣女加大利纳(St. Katharine Drexel 1858-1955)</a>
</li>
</ul>"
04,紫,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1030401"">圣加西弥禄(St. Casimir of Poland)</a>
</li>
<li>
                                                                                    四旬期第一周(星期一)                                                                                </li>
</ul>"
05,紫,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1030501"">圣十字架若望若瑟(St. John Joseph of the Cross)</a>
</li>
<li>
                                                                                    四旬期第一周(星期二)                                                                                </li>
</ul>"
06,紫,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1030601"">圣女高莱德(童贞 St. Colette)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1030602"">真福若尔当(Bd. Jordan of Pisa)</a>
</li>
<li>
                                                                                    四旬期第一周(星期三)                                                                                </li>
</ul>"
07,红,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1030701"">圣妇伯尔都亚、圣妇斐利琪等殉道(Ss. Perpertua Felicity and their Companions)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1030702"">圣保禄“诚朴者”(St. Paul the Simple)</a>
</li>
<li>
                                                                                    四旬期第一周(星期四)                                                                                </li>
</ul>"
08,紫,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1030801"">天赐圣若望(St. John of God)</a>
</li>
<li>
                                                                                    四旬期第一周(星期五)                                                                                </li>
</ul>"
09,紫,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1030901"">圣妇芳济加(St. Frances of Rome)</a>
</li>
<li>
                                                                                    四旬期第一周(星期六)                                                                                </li>
</ul>"
10,紫,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    四旬期第二主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1031001"">色巴德等四十位圣人殉道(the Forty Martyrs of Sebastea)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1031002"">圣若望•安其味(St. John Ogilve 1580-1615)</a>
</li>
</ul>"
11,紫,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1031101"">圣欧乐日(殉道 St. Eulogius of Cordova)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1031102"">圣君士坦丁(殉道 St. Constantine)</a>
</li>
<li>
                                                                                    四旬期第二周(星期一)                                                                                </li>
</ul>"
12,紫,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1031201"">圣戴法纳(院长 St. Theophanes the Chronicler)</a>
</li>
<li>
                                                                                    四旬期第二周(星期二)                                                                                </li>
</ul>"
13,紫,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1031301"">圣女欧弗来西亚(童贞 St. Euphrasia)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1031302"">圣尼赛福禄(君士坦丁堡宗主教 St. Niceohorus)</a>
</li>
<li>
                                                                                    四旬期第二周(星期三)                                                                                </li>
</ul>"
14,紫,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1031401"">圣妇玛蒂达(St. Matilda)</a>
</li>
<li>
                                                                                    四旬期第二周(星期四)                                                                                </li>
</ul>"
15,紫,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1031501"">圣妇露易丝(仁爱女修会副会祖 St. Louisa De Marillac)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1031502"">圣格肋孟•浩卜(St. Clemlent Hofbauer)</a>
</li>
<li>
                                                                                    四旬期第二周(星期五)                                                                                </li>
</ul>"
16,紫,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1031601"">圣赫利巴(高郎总主教 St. Heribert)</a>
</li>
<li>
                                                                                    四旬期第二周(星期六)                                                                                </li>
</ul>"
17,紫,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    四旬期第三主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1031701"">圣巴特利爵(St. Patrick)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1031702"">圣女日多达•尼凡拉(童贞 St. Gertrude of Nivelles)</a>
</li>
</ul>"
18,紫,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1031801"">圣济利禄(St. Cyril)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1031802"">圣安色莫(吕佳主教 St. Anselm)</a>
</li>
<li>
                                                                                    四旬期第三周(星期一)                                                                                </li>
</ul>"
19,白,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1031901"">圣若瑟(圣母净配中国主保 St. Joseph)</a>
</li>
<li>
                                                                                    四旬期第三周(星期二)                                                                                </li>
</ul>"
20,紫,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1032001"">圣格时白(主教 St. Cuthbert)</a>
</li>
<li>
                                                                                    四旬期第三周(星期三)                                                                                </li>
</ul>"
21,紫,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1032101"">圣尼格老•冯物洛(St. Nicholas de flue)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1032102"">圣恩达（院长）、圣女芳佳（童贞）(St. Enda and St. Fanchea)</a>
</li>
<li>
                                                                                    四旬期第三周(星期四)                                                                                </li>
</ul>"
22,紫,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1032201"">圣婴西满和圣童威廉(殉道者 Ss. Simen of Trent and William of Norwich)</a>
</li>
<li>
                                                                                    四旬期第三周(星期五)                                                                                </li>
</ul>"
23,紫,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1032301"">圣多利波(利马总主教 St. Turibius)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1032302"">圣若瑟•奥利沃(St. Joseph Oriol)</a>
</li>
<li>
                                                                                    四旬期第三周(星期六)                                                                                </li>
</ul>"
24,玫,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    四旬期第四主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1032401"">圣女加大利纳•瑞典(童贞 St. Catherine of Sweden)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1032402"">圣依勒内(殉道 St. Irenaeus)</a>
</li>
</ul>"
25,白,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1032501"">圣母领报(the Annunciation of the Blessed Virgin Mary)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1032502"">真福玛加大•格利塞罗(殉道 Bd. Margaret Clitherow)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1032503"">善盗(the good thief)</a>
</li>
<li>
                                                                                    四旬期第四周(星期一)                                                                                </li>
</ul>"
26,紫,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1032601"">圣路基(孟斯脱主教 St. Ludger)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1032602"">圣加斯多罗(殉道 St. Castulus)</a>
</li>
<li>
                                                                                    四旬期第四周(星期二)                                                                                </li>
</ul>"
27,紫,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1032701"">圣若望“埃及人”(St. John of Egypt)</a>
</li>
<li>
                                                                                    四旬期第四周(星期三)                                                                                </li>
</ul>"
28,紫,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1032801"">圣西斯督三世(教宗 St. Sixrus III)</a>
</li>
<li>
                                                                                    四旬期第四周(星期四)                                                                                </li>
</ul>"
29,紫,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1032901"">圣路伯(沙伯主教 St. Rupert)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1032902"">圣约纳和巴拉古(殉道 Ss. Jonas and Barachisius)</a>
</li>
<li>
                                                                                    四旬期第四周(星期五)                                                                                </li>
</ul>"
30,紫,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1033001"">圣若望•克利马古(院长 St. John Climacus)</a>
</li>
<li>
                                                                                    四旬期第四周(星期六)                                                                                </li>
</ul>"
31,紫,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    四旬期第五主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1033101"">圣达尼尔隐修士(St. Daniel of Murano)</a>
</li>
</ul>"
