主历,礼仪,星期,节日（圣心月）
01,红,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=50706"">圣神降临节前夕</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1060101"">圣犹思定殉道(St. Justin)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1060102"">日本殉道烈士(The Martyrs of Japan, II)</a>
</li>
<li>
                                                                                    复活期第七周(星期六)                                                                                </li>
</ul>"
02,红,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=50800"">圣神降临节</a>
</li>
<li>
                                                                                    复活期第八主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1060201"">圣玛策林、圣伯多禄(殉道 Ss. Marcellinus and Peter)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1060202"">里昂及维安殉道烈士(St. Pothinus and his Companions, the Martyrs of Lyons and Vienne)</a>
</li>
</ul>"
03,白,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=10"">教会之母</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1060301"">圣嘉禄•卢安加及同伴(St. Charles Lwanga and Companions)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1060302"">圣基文(根巴度院长 St. Kevin)</a>
</li>
<li>
                                                                                    常年期第九周(星期一)                                                                                </li>
</ul>"
04,绿,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1060401"">圣方济各•加辣巧洛(末位神职界修会会祖 St. Francis Caracciolo)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1060402"">圣达米盎(St. Damian)</a>
</li>
<li>
                                                                                    常年期第九周(星期二)                                                                                </li>
</ul>"
05,红,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1060501"">圣波尼法爵(圣博义总主教殉道 St. Boniface)</a>
</li>
<li>
                                                                                    常年期第九周(星期三)                                                                                </li>
</ul>"
06,白,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=3"">我们的主耶稣基督—永恒的大司祭</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1060601"">圣诺贝特(诺博马德堡总主教 波利荣拉登修会会祖 St. Norbert)</a>
</li>
<li>
                                                                                    常年期第九周(星期四)                                                                                </li>
</ul>"
07,绿,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1060701"">可敬多默•坎比斯(Ven. Thomas A Kenpis)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1060702"">真福巴蒂斯达•华拉妮(Bd. Baptista Varani)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1060703"">圣罗拔(纽明特院长 St. Robert)</a>
</li>
<li>
                                                                                    常年期第九周(星期五)                                                                                </li>
</ul>"
08,绿,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1060801"">圣迈达(万孟杜主教 St. Medard)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1060802"">圣克路多(梅兹主教 St. Clodulf)</a>
</li>
<li>
                                                                                    常年期第九周(星期六)                                                                                </li>
</ul>"
09,白,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=4"">圣三主日</a>
</li>
<li>
                                                                                    常年期第十主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1060901"">圣爱弗冷(圣师 St. Ephraem)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1060902"">圣高隆巴(约纳院长 St. Columba)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1060903"">真福亚纳•玛利亚•泰琪(Bd. Anne Mary Taigi)</a>
</li>
</ul>"
10,绿,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1061001"">圣日多列和殉道烈士(Ss. Getulius and his Companions)</a>
</li>
<li>
                                                                                    常年期第十周(星期一)                                                                                </li>
</ul>"
11,红,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1061101"">圣巴尔纳伯(宗徒 St. Barnabas)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1061102"">真福宝拉(童贞圣多罗珊女修会会祖 Bd. Paula Frassinetti)</a>
</li>
<li>
                                                                                    常年期第十周(星期二)                                                                                </li>
</ul>"
12,绿,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1061201"">圣若望•瑟哈公(St. John of Sahagun)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1061202"">圣伯多禄(St. Peter of Mount Athos)</a>
</li>
<li>
                                                                                    常年期第十周(星期三)                                                                                </li>
</ul>"
13,白,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=5"">基督圣体圣血节</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1061301"">圣安多尼(圣师 St. Antony of Padua)</a>
</li>
<li>
                                                                                    常年期第十周(星期四)                                                                                </li>
</ul>"
14,绿,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1061401"">圣梅多田(君士坦丁堡宗主教 St. Methodius I of Constantinople)</a>
</li>
<li>
                                                                                    常年期第十周(星期五)                                                                                </li>
</ul>"
15,绿,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1061501"">圣女任曼娜(童贞 St. Germaine Cousin)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1061502"">圣女亚兰弟(童贞 St. Aleydis)</a>
</li>
<li>
                                                                                    常年期第十周(星期六)                                                                                </li>
</ul>"
16,白,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=5"">基督圣体圣血节</a>
</li>
<li>
                                                                                    常年期第十一主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1061601"">圣若望•方济各•雷奇(St. John Francis Regis)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1061602"">圣女吕佳田(童贞 St. Lutgardis)</a>
</li>
</ul>"
17,绿,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1061701"">圣尼冈德、圣马星(殉道 Ss. Nicander and Marcian)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1061702"">圣女爱弥丽(童贞“天神显现”若瑟女修会会祖 St. Emily de Vialar)</a>
</li>
<li>
                                                                                    常年期第十一周(星期一)                                                                                </li>
</ul>"
18,绿,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1061801"">圣马尔谷、圣玛策廉(殉道 Ss. Mark and MareeUian)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1061802"">圣女依撒伯尔•许诺(童贞 St. Elizabeth of Schonau)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1061803"">圣额我略•巴巴里果(枢机主教 St. Gregory Barbarigo)</a>
</li>
<li>
                                                                                    常年期第十一周(星期二)                                                                                </li>
</ul>"
19,绿,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1061901"">圣罗慕铎(院长卡马尔修会会祖 St. Romuald)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1061902"">圣伯吕诺(主教殉道 St. Bruno)</a>
</li>
<li>
                                                                                    常年期第十一周(星期三)                                                                                </li>
</ul>"
20,绿,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1062001"">圣西尔物留(教宗殉道 St. Silverius)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1062002"">真福米凯琳(Bd. Michelina of Pesaro)</a>
</li>
<li>
                                                                                    常年期第十一周(星期四)                                                                                </li>
</ul>"
21,白,五,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=6"">耶稣圣心节</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1062101"">圣类思•公撒格(St. Aloysius)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1062102"">圣欧瑟伯(主教 St. Eusebius of Samoasta)</a>
</li>
<li>
                                                                                    常年期第十一周(星期五)                                                                                </li>
</ul>"
22,白,六,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=7"">圣母无玷圣心</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1062201"">圣保林(诺拉主教 St. Paulinus of Nola)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1062202"">圣若望•费生(主教枢机 St. John Fisher)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1062203"">圣多默•莫尔(殉道 St. Thomas More)</a>
</li>
<li>
                                                                                    常年期第十一周(星期六)                                                                                </li>
</ul>"
23,绿,日,"<ul class=""list-unstyled text-start mb-0"">
<li>
                                                                                    常年期第十二主日                                                                                </li>
<li>
<a href=""/index.php?m=saint&amp;code=1062301"">圣若瑟•嘉法沙(St. Joseph Cafasso)</a>
</li>
</ul>"
24,白,一,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1062401"">圣若翰洗者诞辰(The Birthday of St. John the Baptist)</a>
</li>
<li>
                                                                                    常年期第十二周(星期一)                                                                                </li>
</ul>"
25,绿,二,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1062501"">圣威廉•维吉尔(维吉尔修院院长 St. William of Monte Vergine)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1062502"">圣女佛波罗尼(童贞殉道 St. Febronia)</a>
</li>
<li>
                                                                                    常年期第十二周(星期二)                                                                                </li>
</ul>"
26,白,三,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1062602"">圣施礼华(司铎 St. Josemaria)</a>
</li>
<li>
<a href=""/index.php?m=saint&amp;code=1062601"">圣安德莫(比利主教 St. Anthelm)</a>
</li>
<li>
                                                                                    常年期第十二周(星期三)                                                                                </li>
</ul>"
27,绿,四,"<ul class=""list-unstyled text-start mb-0"">
<li>
<a href=""/index.php?m=saint&amp;code=1062701"">圣济利禄(亚历山大主教圣师 St. Cyril)</a>
</li>
<li>
                                                                                    常年期第十二周(星期四)                                                                                </li>
</ul>"
