文件夹名,圣人名称,介绍,纪念日
七位圣昆仲-saint-1071001,七位圣昆仲,殉道 the Seven Brothers and St. Feheity,7月10日
为基督徒合一祈祷周（18 - 25日）-saint-1011801,为基督徒合一祈祷周（18 - 25日）,,1月18日
依华昆仲-saint-1100301,依华昆仲,殉道 The Two Ewalds -695,10月3日
加尔默罗圣母-saint-1071601,加尔默罗圣母,The Commemoration of Our Lady of Mount Carmel,7月16日
北美洲殉道烈士-saint-1101902,北美洲殉道烈士,The Martyrs of North America,10月19日
可敬多默•坎比斯-saint-1060701,可敬多默•坎比斯,Ven. Thomas A Kenpis,6月7日
善盗-saint-1032503,善盗,the good thief,3月25日
圣“农民”依西多禄希道-saint-1040402,圣“农民”依西多禄希道,St. Isidore the Husbandman,4月4日
圣万南修•福多诺-saint-1121501,圣万南修•福多诺,波蒂亚主教 St. Venantius Fotunatus,12月15日
圣乃仁、圣亚启略、圣女多弥谛拉-saint-1051201,圣乃仁、圣亚启略、圣女多弥谛拉,"Ss. Nereus, Achilleus and Domitilla",5月12日
圣乔治-saint-1042301,圣乔治,殉道 St. George,4月23日
圣五伤方济各-saint-1100401,圣五伤方济各,St. Francis Assisi,10月4日
圣亚大纳削-saint-1050201,圣亚大纳削,St. Athanasius,5月2日
圣亚大纳削-saint-1071502,圣亚大纳削,那不勒斯主教 St. Athanasius,7月15日
圣亚尔丰索-saint-1080101,圣亚尔丰索,主教圣师赎世主会会祖 St. Alphonsus de Liguori,8月1日
圣亚尔伯-saint-1092502,圣亚尔伯,耶路撒冷宗主教 St. Albert of Jerusalem,9月25日
圣亚尔比-saint-1081802,圣亚尔比,St. Alipius,8月18日
圣亚斐奇-saint-1041902,圣亚斐奇,坎特伯里总主教殉道 St. Alphege,4月19日
圣亚方沙•罗德利-saint-1103101,圣亚方沙•罗德利,St. Alphonsus Rodriguez,10月31日
圣亚波罗尼-saint-1012901,圣亚波罗尼,殉道 St. Apoelonius the Apologist,1月29日
圣亚玛多-saint-1050102,圣亚玛多,St. Amator,5月1日
圣亚纳大削-saint-1012202,圣亚纳大削,殉道 St. Anastasius the Persian,1月22日
圣亚肋叔-saint-1071701,圣亚肋叔,St. Alexius,7月17日
圣亚赛热-saint-1071902,圣亚赛热,St. Arsenius the Great-450,7月19日
圣亨利•莫斯-saint-1020101,圣亨利•莫斯,殉道 St. Herry Morse,2月1日
圣亨利二世-saint-1071301,圣亨利二世,St. Henry II,7月13日
圣伯吕诺-saint-1061902,圣伯吕诺,主教殉道 St. Bruno,6月19日
圣伯多禄-saint-1050803,圣伯多禄,戴郎旦主教 St. Peter,5月8日
圣伯多禄-saint-1061202,圣伯多禄,St. Peter of Mount Athos,6月12日
圣伯多禄•亚刚大辣-saint-1101901,圣伯多禄•亚刚大辣,St. Peter of Alcantara,10月19日
圣伯多禄•傅雷-saint-1120901,圣伯多禄•傅雷,圣母奥斯定女修会副会祖 St. Peter Fourier 1565-1640,12月9日
圣伯多禄•加尼削-saint-1122101,圣伯多禄•加尼削,圣师 St. Peter Canisius,12月21日
圣伯多禄•尚纳神父-saint-1042802,圣伯多禄•尚纳神父,殉道 St. Peter Mary Chanel,4月28日
圣伯多禄•格肋凡-saint-1090901,圣伯多禄•格肋凡,St. Peter Claver,9月9日
圣伯多禄•诺拉谷-saint-1050901,圣伯多禄•诺拉谷,玛利亚赎虏会 St. Peter Nolasco,5月9日
圣伯多禄•达弥盎-saint-1022101,圣伯多禄•达弥盎,主教圣师 St. Peter Damian,2月21日
圣伯多禄和圣刁尼霞-saint-1051501,圣伯多禄和圣刁尼霞,殉道者 Ss. Peter and Dionysia,5月15日
圣伯多禄圣保禄大殿奉献日-saint-1111801,圣伯多禄圣保禄大殿奉献日,The Dedication of the Basilicas of St. Peter and of St. Paul,11月18日
圣伯多禄金言-saint-1073001,圣伯多禄金言,辣未纳总主教圣师 St. Peter Chrysologus,7月30日
圣伯尔纳定•栖亚那-saint-1052001,圣伯尔纳定•栖亚那,St. Bernardine of Siena,5月20日
圣伯尔纳铎-saint-1082001,圣伯尔纳铎,格来福院长圣师 St. Bernard,8月20日
